,state,tot_co2,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,FIPS,Unnamed: 0,CSA Code,CBSA Title,MSAMCA,center-outer,city,city_pop2014,county_pop2002,county_co2_pc_tons,county,county_land_area_sqmi,top_level,CSA,density_sqmi_county
33,AZ,7481091.10157,689738.429883,266781.877698,259266.324601,573111.188867,4027873.03758,0.0,305933.868633,769021.286654,589365.087651,4013.0,836,,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,Central,"Phoenix-Mesa-Scottsdale, AZ",4489109,3299127,2.26759718603,Maricopa County,9200.143,"Phoenix-Mesa-Scottsdale, AZ",False,358.595187053
34,AZ,1012747.43062,22140.514976,21084.2673612,24725.427172,480382.536792,365657.596751,0.0,15338.314041,38555.6883679,44863.0851563,4015.0,589,332.0,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,Central,"Lake Havasu City-Kingman, AZ",203361,165177,6.13128601814,Mohave County,13311.084,"Las Vegas-Henderson, NV-AZ",True,12.408981868
35,AZ,2545904.77276,6120.01231903,149799.685609,14171.2089003,2067945.39154,252463.025984,0.0,12817.1190003,32218.1990057,10370.1303999,4017.0,1046,,"Show Low, AZ",Micropolitan Statistical Area,Central,"Show Low, AZ",108101,101358,25.1179460207,Navajo County,9950.422,"Show Low, AZ",False,10.1863016463
36,AZ,2195879.11695,74104.7829656,156466.725786,154825.224266,315217.590334,1029196.49788,124261.575052,65923.0523777,165709.770158,110173.898134,4019.0,1117,536.0,"Tucson, AZ",Metropolitan Statistical Area,Central,"Tucson, AZ",1004516,886063,2.47824264973,Pima County,9187.036,"Tucson-Nogales, AZ",True,96.4471021992
37,AZ,960425.342664,6627.63543263,16293.7766339,21469.6266255,430276.039429,395439.807572,0.0,13002.2831673,32683.6382011,44632.5356024,4021.0,837,,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,Central,"Phoenix-Mesa-Scottsdale, AZ",4489109,197830,4.85480130751,Pinal County,5365.612,"Phoenix-Mesa-Scottsdale, AZ",False,36.8699786716
38,AZ,768230.621456,15746.568329,18384.6104409,39672.6627688,1474.08164421,363212.370298,137788.548301,46802.9108178,117647.761459,27501.1073978,4025.0,866,,"Prescott, AZ",Metropolitan Statistical Area,Central,"Prescott, AZ",218844,178390,4.30646685047,Yavapai County,8123.499,"Prescott, AZ",False,21.959749118
39,AZ,478013.700347,13638.0870921,11047.6569818,15857.7883282,51315.9392257,236528.993431,0.0,35087.3850583,88198.6256508,26339.2245786,4027.0,1259,,"Yuma, AZ",Metropolitan Statistical Area,Central,"Yuma, AZ",203247,166071,2.87836949465,Yuma County,5513.992,"Yuma, AZ",False,30.118106809
40,AR,1490176.26782,48445.8864913,119225.771767,58917.3015774,963270.942666,193166.63355,0.0,22329.2454222,56128.6774188,28691.8089232,5007.0,397,,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Central,"Fayetteville-Springdale-Rogers, AR-MO",501653,167038,8.92118121515,Benton County,847.357,"Fayetteville-Springdale-Rogers, AR-MO",False,197.128247008
41,AR,263238.457864,20911.7224126,70084.3771697,28202.076857,350.46930844,109212.769507,0.0,4398.80468731,11057.2075904,19021.0303311,5031.0,534,308.0,"Jonesboro, AR",Metropolitan Statistical Area,Central,"Jonesboro, AR",126764,83978,3.13461213489,Craighead County,707.206,"Jonesboro-Paragould, AR",True,118.746164484
42,AR,167231.08184,7952.41122257,38171.3887378,14730.2021846,0.0,99917.7660953,0.0,0.0,0.0,6459.3135996,5033.0,409,,"Fort Smith, AR-OK",Metropolitan Statistical Area,Central,"Fort Smith, AR-OK",279592,54698,3.05735277048,Crawford County,593.094,"Fort Smith, AR-OK",False,92.2248412562
43,AR,191065.414094,8173.44955984,16460.4150426,13917.2696322,6165.21225852,121602.926823,0.0,2755.68023156,6926.91263135,15063.5479144,5035.0,665,368.0,"Memphis, TN-MS-AR",Metropolitan Statistical Area,Central,"Memphis, TN-MS-AR",1343230,51166,3.73422612856,Crittenden County,609.76,"Memphis-Forrest City, TN-MS-AR",True,83.9117029651
47,AR,173965.329664,5091.09713918,18223.3122743,10963.4631502,0.0,107075.151571,0.0,5178.29163024,13016.588721,14417.4251779,5085.0,614,340.0,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Central,"Little Rock-North Little Rock-Conway, AR",729135,54974,3.16450194025,Lonoke County,770.728,"Little Rock-North Little Rock, AR",True,71.3273684101
49,AR,157021.346138,4594.33454919,41030.9953291,8165.04388548,0.0,73706.6113775,0.0,6206.86390404,15602.0984954,7715.39859759,5091.0,1100,,"Texarkana, TX-AR",Metropolitan Statistical Area,Central,"Texarkana, TX-AR",149235,40987,3.83100363867,Miller County,625.578,"Texarkana, TX-AR",False,65.518608391
52,AR,1297450.05808,151546.025473,163388.542067,120287.836246,49389.7987165,623272.293565,0.0,37061.4813124,93160.8781267,59343.202576,5119.0,616,340.0,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Central,"Little Rock-North Little Rock-Conway, AR",729135,364933,3.55531031199,Pulaski County,759.763,"Little Rock-North Little Rock, AR",True,480.324785492
53,AR,145717.51819,9879.30686507,26352.3997858,22778.0361353,0.0,65497.2887143,0.0,3370.40863189,8472.14474104,9367.93331627,5125.0,617,340.0,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Central,"Little Rock-North Little Rock-Conway, AR",729135,85753,1.6992702085,Saline County,723.604,"Little Rock-North Little Rock, AR",True,118.508189562
54,AR,473893.106547,40176.2042762,207686.351643,36778.546171,910.204347279,130782.862588,0.0,10689.3407265,26869.6307587,19999.9660361,5131.0,410,,"Fort Smith, AR-OK",Metropolitan Statistical Area,Central,"Fort Smith, AR-OK",279592,116828,4.05633158615,Sebastian County,531.911,"Fort Smith, AR-OK",False,219.638247752
55,AR,525006.1772,49782.6643647,151253.737713,61179.6288121,0.0,199050.534271,0.0,9362.56723329,23534.5392668,30842.5055397,5143.0,399,,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Central,"Fayetteville-Springdale-Rogers, AR-MO",501653,166983,3.14406961907,Washington County,941.966,"Fayetteville-Springdale-Rogers, AR-MO",False,177.270729517
56,CA,3024296.05694,186096.656233,203591.132425,455675.347448,759.165942832,1638136.72921,0.0,103636.736306,260510.084218,175890.205156,6001.0,978,488.0,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,Central,"San Francisco-Oakland-Hayward, CA",4594060,1460576,2.07061875379,Alameda County,739.017,"San Jose-San Francisco-Oakland, CA",True,1976.37672746
57,CA,387642.947464,24444.959724,11210.2116011,48242.886015,794.546418455,233938.446855,0.0,11600.2208872,29159.293886,28252.3820775,6007.0,243,,"Chico, CA",Metropolitan Statistical Area,Central,"Chico, CA",224241,209319,1.85192432347,Butte County,1636.464,"Chico, CA",False,127.909321562
59,CA,322629.843186,13495.6295779,3006.56185495,25214.6107382,0.0,194192.833683,0.0,15977.6720525,40162.830652,30579.7046271,6017.0,930,472.0,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,Central,"Sacramento--Roseville--Arden-Arcade, CA",2244397,164675,1.9591913963,El Dorado County,1707.883,"Sacramento-Roseville, CA",True,96.4205393461
60,CA,1785504.36369,116913.539734,203058.091598,190014.354425,5086.12700746,1022052.12635,0.0,38129.7968728,95846.2867001,114404.041003,6019.0,416,260.0,"Fresno, CA",Metropolitan Statistical Area,Central,"Fresno, CA",965974,828245,2.15576835802,Fresno County,5957.991,"Fresno-Madera, CA",True,139.01414084
61,CA,402465.767696,6754.00205955,6954.66579252,35788.984156,73294.0454529,170814.432598,0.0,23432.6362692,58902.2585412,26524.7428267,6023.0,387,,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,Central,"Eureka-Arcata-Fortuna, CA",134809,127779,3.14970196743,Humboldt County,3567.987,"Eureka-Arcata-Fortuna, CA",False,35.8126304832
62,CA,572957.722133,17540.2834161,80013.1590752,10060.7570259,102637.459526,229004.529205,0.0,22399.0898115,56304.248142,54998.1959311,6025.0,378,,"El Centro, CA",Metropolitan Statistical Area,Central,"El Centro, CA",179091,144579,3.96293875412,Imperial County,4176.603,"El Centro, CA",False,34.6164095558
63,CA,4937147.89892,393348.218602,2486045.44315,149278.993162,121753.777149,1051583.65103,471560.873561,49119.9200786,123471.999501,90985.0226827,6029.0,103,,"Bakersfield, CA",Metropolitan Statistical Area,Central,"Bakersfield, CA",874589,689204,7.1635508484,Kern County,8131.916,"Bakersfield, CA",False,84.7529659677
64,CA,510489.504108,15741.8826879,273589.758871,6977.34948297,13762.1348002,164872.635245,0.0,3917.11866572,9846.39927742,21782.2250784,6031.0,450,546.0,"Hanford-Corcoran, CA",Metropolitan Statistical Area,Central,"Hanford-Corcoran, CA",150269,134681,3.79036021494,Kings County,1389.42,"Visalia-Porterville-Hanford, CA",True,96.9332527242
65,CA,21316003.9707,276884.50493,5026491.22869,1904691.42609,2126320.02173,9360509.71368,0.0,499128.04355,1254650.52227,867328.509795,6037.0,628,348.0,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Central,"Los Angeles-Long Beach-Anaheim, CA",13262220,9717871,2.19348496916,Los Angeles County,4057.884,"Los Angeles-Long Beach, CA",True,2394.81241948
66,CA,320734.718415,20098.2853495,35766.1647642,17850.6380611,1.17799560081,201802.49178,0.0,6141.23395793,15437.121222,23637.6052845,6039.0,656,260.0,"Madera, CA",Metropolitan Statistical Area,Central,"Madera, CA",154548,127841,2.50885645775,Madera County,2137.069,"Fresno-Madera, CA",True,59.8207170662
67,CA,572508.627819,29121.8046953,14261.6590225,105762.075833,63.8809495682,329820.657385,0.0,14565.253779,36612.4540621,42300.8420918,6041.0,982,488.0,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,Central,"San Francisco-Oakland-Hayward, CA",4594060,246332,2.32413420838,Marin County,520.306,"San Jose-San Francisco-Oakland, CA",True,473.436785276
68,CA,727298.243763,32673.3343207,218828.519288,38350.5043201,7381.59867711,342590.135235,0.0,12165.4111897,30580.010922,44728.72981,6047.0,674,382.0,"Merced, CA",Metropolitan Statistical Area,Central,"Merced, CA",266353,223666,3.25171570003,Merced County,1934.972,"Modesto-Merced, CA",True,115.591336722
69,CA,5424929.85103,52909.6246564,3702978.58049,93705.5431082,842953.752829,591832.165238,0.0,24937.6392891,62685.3635789,52927.1818462,6053.0,960,,"Salinas, CA",Metropolitan Statistical Area,Central,"Salinas, CA",431344,409210,13.2570803525,Monterey County,3280.595,"Salinas, CA",False,124.736518833
70,CA,322356.128744,20630.3299198,16156.0111267,39747.60552,4616.21640273,160785.512233,0.0,16033.2405008,40302.5146256,24084.6984155,6055.0,723,488.0,"Napa, CA",Metropolitan Statistical Area,Central,"Napa, CA",141667,128584,2.5069692088,Napa County,748.362,"San Jose-San Francisco-Oakland, CA",True,171.820589501
71,CA,5329271.06628,266585.436057,354225.348649,602420.189188,255239.11921,3178229.4696,0.0,80854.5276013,203242.792361,388474.183613,6059.0,627,348.0,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Central,"Los Angeles-Long Beach-Anaheim, CA",13262220,2917106,1.82690346744,Orange County,790.568,"Los Angeles-Long Beach, CA",True,3689.88625899
72,CA,672034.422529,62882.6485325,13848.6690876,73943.1964406,2732.61953854,387304.259933,0.0,15792.9033225,39698.3826566,75831.7430173,6061.0,931,472.0,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,Central,"Sacramento--Roseville--Arden-Arcade, CA",2244397,277833,2.4188430551,Placer County,1407.009,"Sacramento-Roseville, CA",True,197.46355567
73,CA,3828075.67653,157942.05051,366442.900764,340515.269557,55232.3315094,2158574.71204,12048.198196,116443.046864,292701.104874,328176.06221,6065.0,907,348.0,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,Central,"Riverside-San Bernardino-Ontario, CA",4441890,1682749,2.27489404334,Riverside County,7206.48,"Los Angeles-Long Beach, CA",True,233.504984403
74,CA,2753583.14276,278412.344306,35512.3806926,291829.080593,321792.148041,1416985.85949,0.0,68582.1245433,172393.829942,168075.375158,6067.0,932,472.0,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,Central,"Sacramento--Roseville--Arden-Arcade, CA",2244397,1299105,2.11960014222,Sacramento County,964.644,"Sacramento-Roseville, CA",True,1346.71961884
76,CA,5584880.61652,274884.670369,1081027.06103,375070.116494,429262.611736,2017181.61071,849117.782051,101508.534179,255160.445121,201667.784825,6071.0,908,348.0,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,Central,"Riverside-San Bernardino-Ontario, CA",4441890,1800599,3.10167928368,San Bernardino County,20056.938,"Los Angeles-Long Beach, CA",True,89.7743713422
77,CA,7446141.684,1423968.47266,200158.540247,268065.713992,994226.145991,3631678.54269,0.0,151902.956266,381836.13574,394305.176419,6073.0,977,,"San Diego-Carlsbad, CA",Metropolitan Statistical Area,Central,"San Diego-Carlsbad, CA",3263431,2901235,2.56654207053,San Diego County,4206.63,"San Diego-Carlsbad, CA",False,689.681526543
78,CA,1350510.84242,93391.5615839,56340.6979043,291518.223722,180662.38517,647236.38224,0.0,0.0,0.0,81361.591798,6075.0,980,488.0,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,Central,"San Francisco-Oakland-Hayward, CA",4594060,779281,1.73302164741,San Francisco County,46.873,"San Jose-San Francisco-Oakland, CA",True,16625.3706825
79,CA,1526505.80143,75471.9623634,344204.036232,126527.250599,8267.36178342,793234.741606,0.0,20092.3238788,50505.7591744,108202.365791,6077.0,1082,488.0,"Stockton-Lodi, CA",Metropolitan Statistical Area,Central,"Stockton-Lodi, CA",715597,608367,2.50918574056,San Joaquin County,1391.322,"San Jose-San Francisco-Oakland, CA",True,437.258233536
80,CA,804697.239326,21491.7663869,74207.856569,57445.5760039,233641.436248,306893.58783,0.0,18317.8723319,46045.3503687,46653.7935864,6079.0,1029,,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metropolitan Statistical Area,Central,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",279083,252932,3.18147659974,San Luis Obispo County,3298.567,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",False,76.6793580364
81,CA,1937585.01906,85209.9798143,132950.560964,257174.911913,130.108855731,1044779.75615,0.0,93593.1471374,235263.658494,88482.8957329,6081.0,981,488.0,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,Central,"San Francisco-Oakland-Hayward, CA",4594060,699043,2.77176800148,San Mateo County,448.408,"San Jose-San Francisco-Oakland, CA",True,1558.94408664
82,CA,1300362.22677,209231.725295,308546.791426,98781.2146683,6305.95344685,479955.162718,0.0,38860.536985,97683.1351569,60997.7070791,6083.0,1032,,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area,Central,"Santa Maria-Santa Barbara, CA",440668,402079,3.23409635115,Santa Barbara County,2735.085,"Santa Maria-Santa Barbara, CA",False,147.007862644
83,CA,4085502.31558,308928.93099,384302.668278,524537.529141,13064.327856,2081990.22685,209722.705798,94529.4900682,237617.33367,230809.102937,6085.0,988,488.0,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,Central,"San Jose-Sunnyvale-Santa Clara, CA",1952872,1673028,2.44198083689,Santa Clara County,1290.1,"San Jose-San Francisco-Oakland, CA",True,1296.82040152
84,CA,646769.336771,52946.471848,34227.0598651,63430.876164,24073.6248882,281116.159988,115298.45482,13735.8965684,34527.7126828,27413.0799466,6087.0,1030,488.0,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,Central,"Santa Cruz-Watsonville, CA",271804,253708,2.54926662451,Santa Cruz County,445.17,"San Jose-San Francisco-Oakland, CA",True,569.912617652
85,CA,597726.545466,67029.3808903,95192.8609848,36375.7707077,12435.9814256,219178.404012,82936.4340998,17343.4469995,43595.9580179,23638.3083285,6089.0,885,454.0,"Redding, CA",Metropolitan Statistical Area,Central,"Redding, CA",179804,171141,3.49259701337,Shasta County,3775.402,"Redding-Red Bluff, CA",True,45.3305369865
86,CA,1165641.30806,102047.966636,376826.868381,109558.897214,2193.17647364,467566.754371,0.0,14900.4794106,37455.1068038,55092.0587704,6095.0,1144,488.0,"Vallejo-Fairfield, CA",Metropolitan Statistical Area,Central,"Vallejo-Fairfield, CA",431131,407855,2.85797969391,Solano County,821.765,"San Jose-San Francisco-Oakland, CA",True,496.315856723
87,CA,970038.913485,44239.9756293,36378.9668331,137103.41545,275.721208541,612238.627133,0.0,23231.4178925,58396.4544963,58174.3348422,6097.0,1033,488.0,"Santa Rosa, CA",Metropolitan Statistical Area,Central,"Santa Rosa, CA",500292,463593,2.09243649815,Sonoma County,1575.849,"San Jose-San Francisco-Oakland, CA",True,294.186181544
88,CA,987372.294542,61236.5669091,95619.9563529,95894.3211566,43804.6396002,578909.646523,0.0,13738.0428225,34533.1023328,63636.0188453,6099.0,706,382.0,"Modesto, CA",Metropolitan Statistical Area,Central,"Modesto, CA",531997,477197,2.06910834423,Stanislaus County,1494.827,"Modesto-Merced, CA",True,319.232258984
89,CA,655372.381357,82376.2438076,33144.5857113,18840.6795967,381233.009437,105486.57509,0.0,4438.30845275,11156.5090144,18696.4702479,6101.0,1257,472.0,"Yuba City, CA",Metropolitan Statistical Area,Central,"Yuba City, CA",169813,81767,8.01512078659,Sutter County,602.41,"Sacramento-Roseville, CA",True,135.73313856
90,CA,878963.733163,50296.7686691,143517.577581,80490.8066575,23.4802758266,497569.996036,0.0,15595.8904172,39203.1587865,52266.0547398,6107.0,1162,546.0,"Visalia-Porterville, CA",Metropolitan Statistical Area,Central,"Visalia-Porterville, CA",458198,378285,2.3235489992,Tulare County,4824.215,"Visalia-Porterville-Hanford, CA",True,78.4137937468
91,CA,2237312.92903,111866.125588,296431.943213,183104.366658,645631.333294,749331.039518,0.0,43577.2899311,109539.568539,97831.2622839,6111.0,814,348.0,"Oxnard-Thousand Oaks-Ventura, CA",Metropolitan Statistical Area,Central,"Oxnard-Thousand Oaks-Ventura, CA",846178,776560,2.88105610516,Ventura County,1843.133,"Los Angeles-Long Beach, CA",True,421.326079019
93,CA,282148.289653,161754.333761,3823.62379051,11978.5778392,1137.3178951,69412.3183363,0.0,6848.15509917,17214.0950044,9979.8679272,6115.0,1258,472.0,"Yuba City, CA",Metropolitan Statistical Area,Central,"Yuba City, CA",169813,62399,4.52167966879,Yuba County,631.839,"Sacramento-Roseville, CA",True,98.7577531618
94,CO,2257632.51356,55965.4047079,288859.824945,134938.352861,1201111.21484,476388.660338,0.0,11716.7844163,29452.3041081,59199.9673393,8001.0,342,216.0,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Central,"Denver-Aurora-Lakewood, CO",2754258,371781,6.0724795338,Adams County,1167.653,"Denver-Aurora, CO",True,318.400243908
95,CO,1193661.31828,111273.031924,66155.8116492,216808.493559,8844.35516773,536500.125958,0.0,53171.3783477,133656.0838,67252.0378787,8005.0,343,216.0,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Central,"Denver-Aurora-Lakewood, CO",2754258,509598,2.34235871861,Arapahoe County,798.1,"Denver-Aurora, CO",True,638.51397068
96,CO,1087185.6055,59087.4569591,84602.2544392,115493.94571,390808.467841,287652.688798,39983.9638486,18653.7789599,46889.7200103,44013.3289294,8013.0,171,216.0,"Boulder, CO",Metropolitan Statistical Area,Central,"Boulder, CO",313333,281941,3.85607487203,Boulder County,726.289,"Denver-Aurora, CO",True,388.19395585
97,CO,98645.4654762,5849.4755921,5921.94834646,15899.2419415,206.146697975,64341.5348479,0.0,0.0,0.0,6427.11805031,8014.0,344,216.0,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Central,"Denver-Aurora-Lakewood, CO",2754258,42522,2.3198689026,Broomfield County,33.034,"Denver-Aurora, CO",True,1287.21922867
99,CO,2393514.43055,223666.040081,138560.851974,256286.081296,571839.439557,717539.603153,0.0,114121.088119,286864.432582,84636.8937911,8031.0,346,216.0,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Central,"Denver-Aurora-Lakewood, CO",2754258,561072,4.26596663272,Denver County,153.0,"Denver-Aurora, CO",True,3667.1372549
100,CO,409571.894951,14896.5371789,4797.90235384,75769.5211735,471.971300282,267561.329546,0.0,0.0,0.0,46074.6333981,8035.0,347,216.0,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Central,"Denver-Aurora-Lakewood, CO",2754258,210037,1.94999878569,Douglas County,840.248,"Denver-Aurora, CO",True,249.970246879
